date,open,low,high,close,weightedAverage,volume,quoteVolume
01/11/2017 00:00:00,0.008709999999999999,0.00870503,0.00872904,0.008718,0.00871462,3.13640199,359.90117403
01/11/2017 00:05:00,0.00872778,0.008718,0.00873458,0.008718,0.00872721,3.49233458,400.16582855
01/11/2017 00:10:00,0.00871801,0.008713,0.00871803,0.008713,0.00871773,1.42573801,163.54450092
01/11/2017 00:15:00,0.008713,0.00865587,0.00871803,0.00865587,0.00868267,15.16824221,1746.95469519
01/11/2017 00:20:00,0.00870175,0.00862073,0.00870175,0.00864586,0.00865164,5.84101463,675.13369471
01/11/2017 00:25:00,0.00864023,0.00863407,0.008665,0.0086369,0.00864559,6.29402726,728.00432981
01/11/2017 00:30:00,0.00864798,0.00861758,0.00866,0.00864499,0.00863164,2.52868979,292.95568552
01/11/2017 00:35:00,0.00863499,0.00861983,0.008645,0.00864,0.00863683,0.47452346,54.94181120000001
01/11/2017 00:40:00,0.00863,0.00861001,0.00863,0.008624,0.00861984,4.82412197,559.65327636
01/11/2017 00:45:00,0.008624,0.00860024,0.00862536,0.00860024,0.0086131,4.47954491,520.08500967
01/11/2017 00:50:00,0.00860049,0.0085751,0.008617,0.008584,0.008589,11.2913692,1314.63103596
01/11/2017 00:55:00,0.00859596,0.00857545,0.00861124,0.00857589,0.00858751,13.64770612,1589.25057119
01/11/2017 01:00:00,0.00859199,0.00859198,0.008665,0.00864476,0.00862101,8.19687821,950.80232355
01/11/2017 01:05:00,0.0086448,0.00860313,0.0086448,0.00862997,0.0086225,2.4152979,280.11570441
01/11/2017 01:10:00,0.00862101,0.00862101,0.008642,0.008642,0.00863138,0.57554819,66.68086704
01/11/2017 01:15:00,0.00864375,0.00863111,0.00867876,0.00867303,0.00866241,5.45532072,629.76930386
01/11/2017 01:20:00,0.00867303,0.00863232,0.00867303,0.00863251,0.0086596,3.81623609,440.69410245
01/11/2017 01:25:00,0.00863301,0.00862994,0.00864392,0.00862994,0.00863544,1.63222373,189.01435057
01/11/2017 01:30:00,0.00862994,0.00861377,0.00864195,0.00861904,0.0086277,2.76797864,320.82430477
01/11/2017 01:35:00,0.00861904,0.00861411,0.00863519,0.008634999999999999,0.00862852,3.75421716,435.09374724
01/11/2017 01:40:00,0.008634999999999999,0.00863404,0.00865994,0.00863404,0.00865204,2.42651369,280.45559442
01/11/2017 01:45:00,0.008634000000000001,0.008624,0.00865391,0.008639,0.00863111,1.2917962,149.66735093
01/11/2017 01:50:00,0.008652,0.008634000000000001,0.008668299999999999,0.00866659,0.00866241,0.18313565,21.14141339
01/11/2017 01:55:00,0.00866653,0.008626,0.0086685,0.00865606,0.00866206,0.57526765,66.41228734
01/11/2017 02:00:00,0.008656,0.00862803,0.00866845,0.008638,0.00864121,0.40057179,46.35593065
01/11/2017 02:05:00,0.00865392,0.008638,0.008665,0.008665,0.008656299999999999,0.11285229,13.03700772
01/11/2017 02:10:00,0.008648000000000001,0.00863301,0.00866989,0.00863305,0.00864923,1.02581294,118.60157137
01/11/2017 02:15:00,0.00863306,0.00859882,0.00864299,0.00859883,0.00861993,3.11838511,361.76442176
01/11/2017 02:20:00,0.00859883,0.00858408,0.00861897,0.008597,0.00860589,4.65848761,541.31332858
01/11/2017 02:25:00,0.00859714,0.00858953,0.00861896,0.008614,0.00860816,1.16792358,135.67633181
01/11/2017 02:30:00,0.008603,0.00858801,0.00861385,0.00858868,0.00860707,1.77202157,205.87963873
01/11/2017 02:35:00,0.00858868,0.00858868,0.00861435,0.00861435,0.00860044,0.7041985,81.87930502
01/11/2017 02:40:00,0.00861461,0.00861206,0.00863895,0.008618,0.0086215,0.81214497,94.19992059
01/11/2017 02:45:00,0.00861203,0.00861203,0.00861451,0.00861203,0.00861236,0.14010648,16.2680667
01/11/2017 02:50:00,0.00861203,0.008597,0.00861384,0.00859703,0.00860402,1.17287627,136.31711611
01/11/2017 02:55:00,0.00861,0.00859259,0.00861,0.008598999999999999,0.0085986,1.76157247,204.86733813
01/11/2017 03:00:00,0.00860024,0.00859407,0.008602,0.008601000000000001,0.00860071,2.6263542,305.36452175
01/11/2017 03:05:00,0.008601000000000001,0.00859998,0.008601000000000001,0.00859999,0.00860051,0.49126585,57.12049014
01/11/2017 03:10:00,0.00859999,0.00859999,0.00860099,0.00860004,0.00860005,1.10009113,127.91671892
01/11/2017 03:15:00,0.00860011,0.0086,0.00860099,0.00860003,0.00860062,0.11301719,13.14057889
01/11/2017 03:20:00,0.00860082,0.00860081,0.008615000000000001,0.008615000000000001,0.00860319,0.52341112,60.83913291
01/11/2017 03:25:00,0.00860604,0.0086004,0.00861497,0.008611,0.00860853,1.62234496,188.45766697
01/11/2017 03:30:00,0.00860113,0.00860001,0.008606,0.008605,0.00860426,1.35823667,157.85612754
01/11/2017 03:35:00,0.008616,0.00858476,0.008616,0.00858476,0.0085956,1.58145855,183.98446918
01/11/2017 03:40:00,0.00858492,0.00858417,0.00859902,0.00859902,0.00859398,0.28157194,32.76383771
01/11/2017 03:45:00,0.00859403,0.00859402,0.00859902,0.00859402,0.00859426,0.57134061,66.47931273
01/11/2017 03:50:00,0.00859402,0.00858226,0.0085988,0.0085823,0.00859801,5.16897974,601.18274287
01/11/2017 03:55:00,0.00858225,0.00857874,0.00858228,0.008581,0.00858003,0.77527808,90.35840237
01/11/2017 04:00:00,0.00858187,0.00856639,0.00858799,0.00857,0.00856931,5.202865900000001,607.15100009
01/11/2017 04:05:00,0.00856669,0.00856669,0.00858799,0.00856725,0.00857268,0.23943124,27.92955629
01/11/2017 04:10:00,0.00856727,0.00856638,0.008580899999999999,0.00856803,0.00856721,5.90600099,689.37196497
01/11/2017 04:15:00,0.00856807,0.00856807,0.008579999999999999,0.00856906,0.00857295,3.10529847,362.22023332
